score,data_unit,n,k,subcode,sub2code,reducer_name,kernel_name
0.9820598006644519,AHpf,14,18,w2,reduce,pca,
0.9800664451827242,AHpf,14,19,w2,reduce,pca,
0.9867109634551495,AHpf,14,20,w2,reduce,pca,
0.9840531561461794,AHpf,14,21,w2,reduce,pca,
0.9827242524916944,AHpf,14,22,w2,reduce,pca,
0.9840531561461794,AHpf,14,23,w2,reduce,pca,
0.9847176079734219,AHpf,14,24,w2,reduce,pca,
0.9840531561461794,AHpf,14,25,w2,reduce,pca,
0.9807308970099667,AHpf,14,26,w2,reduce,pca,
0.9853820598006644,AHpf,14,27,w2,reduce,pca,
0.9813953488372092,AHpf,14,28,w2,reduce,pca,
0.9800664451827242,AHpf,14,29,w2,reduce,pca,
0.987375415282392,AHpf,14,30,w2,reduce,pca,
0.9787375415282392,AHpf,14,31,w2,reduce,pca,
0.9827242524916944,AHpf,15,1,w2,reduce,pca,
0.988704318936877,AHpf,15,2,w2,reduce,pca,
0.9893687707641196,AHpf,15,3,w2,reduce,pca,
0.9833887043189369,AHpf,15,4,w2,reduce,pca,
0.9867109634551495,AHpf,15,5,w2,reduce,pca,
0.9867109634551495,AHpf,15,6,w2,reduce,pca,
0.9867109634551495,AHpf,15,7,w2,reduce,pca,
0.9840531561461794,AHpf,15,8,w2,reduce,pca,
0.9853820598006644,AHpf,15,9,w2,reduce,pca,
0.9893687707641196,AHpf,15,10,w2,reduce,pca,
0.988704318936877,AHpf,15,11,w2,reduce,pca,
0.9853820598006644,AHpf,15,12,w2,reduce,pca,
0.9840531561461794,AHpf,15,13,w2,reduce,pca,
0.9867109634551495,AHpf,15,14,w2,reduce,pca,
0.9747508305647841,AHpf,15,15,w2,reduce,pca,
0.9787375415282392,AHpf,15,16,w2,reduce,pca,
0.9840531561461794,AHpf,15,17,w2,reduce,pca,
