class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,k
all-classes,0.6424178154825027,AHpf,True,True,kpca,sigmoid,4,15
all-classes,0.9693001060445388,AHpf,True,True,kpca,cosine,4,1
all-classes,0.9747083775185578,AHpf,True,True,kpca,cosine,4,2
all-classes,0.9778897136797455,AHpf,True,True,kpca,cosine,4,3
all-classes,0.9785259809119831,AHpf,True,True,kpca,cosine,4,4
all-classes,0.9784199363732767,AHpf,True,True,kpca,cosine,4,5
all-classes,0.9777836691410392,AHpf,True,True,kpca,cosine,4,6
all-classes,0.9781548250265112,AHpf,True,True,kpca,cosine,4,7
all-classes,0.9783669141039236,AHpf,True,True,kpca,cosine,4,8
all-classes,0.9784199363732767,AHpf,True,True,kpca,cosine,4,9
all-classes,0.9785790031813362,AHpf,True,True,kpca,cosine,4,10
all-classes,0.9786850477200424,AHpf,True,True,kpca,cosine,4,11
all-classes,0.9785790031813362,AHpf,True,True,kpca,cosine,4,12
all-classes,0.9785790031813362,AHpf,True,True,kpca,cosine,4,13
all-classes,0.9786320254506893,AHpf,True,True,kpca,cosine,4,14
all-classes,0.9785259809119831,AHpf,True,True,kpca,cosine,4,15
all-classes,0.9705196182396607,AHpf,True,True,umap,None,4,1
all-classes,0.9771474019088017,AHpf,True,True,umap,None,4,2
all-classes,0.97847295864263,AHpf,True,True,umap,None,4,3
all-classes,0.9799575821845175,AHpf,True,True,umap,None,4,4
all-classes,0.9800106044538707,AHpf,True,True,umap,None,4,5
all-classes,0.9805938494167551,AHpf,True,True,umap,None,4,6
all-classes,0.9808589607635206,AHpf,True,True,umap,None,4,7
all-classes,0.9809119830328739,AHpf,True,True,umap,None,4,8
all-classes,0.980965005302227,AHpf,True,True,umap,None,4,9
all-classes,0.980965005302227,AHpf,True,True,umap,None,4,10
all-classes,0.9806998939554613,AHpf,True,True,umap,None,4,11
all-classes,0.9804878048780488,AHpf,True,True,umap,None,4,12
all-classes,0.9804347826086957,AHpf,True,True,umap,None,4,13
all-classes,0.9805408271474019,AHpf,True,True,umap,None,4,14
all-classes,0.9807529162248144,AHpf,True,True,umap,None,4,15
all-classes,0.9717391304347827,AHpf,True,True,pca,None,5,1
all-classes,0.9772004241781548,AHpf,True,True,pca,None,5,2
all-classes,0.9786850477200424,AHpf,True,True,pca,None,5,3
all-classes,0.9801166489925769,AHpf,True,True,pca,None,5,4
all-classes,0.9805938494167551,AHpf,True,True,pca,None,5,5
all-classes,0.9798515376458112,AHpf,True,True,pca,None,5,6
all-classes,0.9801166489925769,AHpf,True,True,pca,None,5,7
all-classes,0.9799045599151643,AHpf,True,True,pca,None,5,8
all-classes,0.9800636267232238,AHpf,True,True,pca,None,5,9
all-classes,0.9797985153764581,AHpf,True,True,pca,None,5,10
all-classes,0.9799575821845175,AHpf,True,True,pca,None,5,11
all-classes,0.9799575821845175,AHpf,True,True,pca,None,5,12
all-classes,0.9801166489925769,AHpf,True,True,pca,None,5,13
all-classes,0.9800636267232238,AHpf,True,True,pca,None,5,14
all-classes,0.9800636267232238,AHpf,True,True,pca,None,5,15
all-classes,0.9654825026511135,AHpf,True,True,kpca,poly,5,1
all-classes,0.97067868504772,AHpf,True,True,kpca,poly,5,2
all-classes,0.9753446447507953,AHpf,True,True,kpca,poly,5,3
all-classes,0.9766702014846236,AHpf,True,True,kpca,poly,5,4
all-classes,0.9770943796394486,AHpf,True,True,kpca,poly,5,5
all-classes,0.9766702014846236,AHpf,True,True,kpca,poly,5,6
all-classes,0.976882290562036,AHpf,True,True,kpca,poly,5,7
all-classes,0.9767762460233298,AHpf,True,True,kpca,poly,5,8
all-classes,0.9770943796394486,AHpf,True,True,kpca,poly,5,9
all-classes,0.9773064687168611,AHpf,True,True,kpca,poly,5,10
all-classes,0.9777306468716861,AHpf,True,True,kpca,poly,5,11
all-classes,0.9777306468716861,AHpf,True,True,kpca,poly,5,12
all-classes,0.9776246023329799,AHpf,True,True,kpca,poly,5,13
all-classes,0.9774125132555673,AHpf,True,True,kpca,poly,5,14
all-classes,0.9774125132555673,AHpf,True,True,kpca,poly,5,15
all-classes,0.8079003181336161,AHpf,True,True,kpca,rbf,5,1
all-classes,0.8014316012725344,AHpf,True,True,kpca,rbf,5,2
all-classes,0.815270413573701,AHpf,True,True,kpca,rbf,5,3
all-classes,0.8111346765641569,AHpf,True,True,kpca,rbf,5,4
all-classes,0.8131495227995759,AHpf,True,True,kpca,rbf,5,5
all-classes,0.8101272534464475,AHpf,True,True,kpca,rbf,5,6
all-classes,0.8125662778366914,AHpf,True,True,kpca,rbf,5,7
all-classes,0.8106044538706256,AHpf,True,True,kpca,rbf,5,8
all-classes,0.8099681866383881,AHpf,True,True,kpca,rbf,5,9
all-classes,0.8109756097560976,AHpf,True,True,kpca,rbf,5,10
all-classes,0.8085365853658537,AHpf,True,True,kpca,rbf,5,11
all-classes,0.809915164369035,AHpf,True,True,kpca,rbf,5,12
all-classes,0.8071049840933192,AHpf,True,True,kpca,rbf,5,13
all-classes,0.8083775185577943,AHpf,True,True,kpca,rbf,5,14
all-classes,0.8069459172852598,AHpf,True,True,kpca,rbf,5,15
